cekilis_no,tarih,cekilen_1,cekilen_2,cekilen_3,cekilen_4,cekilen_5,cekilen_6,cekilen_7,cekilen_8,cekilen_9,cekilen_10,cekilen_11,cekilen_12,cekilen_13,cekilen_14,cekilen_15,cekilen_16,cekilen_17,cekilen_18,cekilen_19,cekilen_20,cekilen_21,cekilen_22
519,2025-08-25,2,5,8,9,12,14,18,23,25,26,32,38,44,50,53,55,56,58,62,65,66,68
520,2025-08-29,2,4,5,6,7,10,16,20,23,28,30,33,49,53,64,68,70,71,72,73,79,80
521,2025-09-01,3,4,10,12,14,15,27,34,40,41,46,49,53,58,59,60,71,73,75,76,77,79
522,2025-09-05,1,2,6,10,23,29,30,35,38,40,41,44,47,49,55,56,58,59,66,67,71,72
523,2025-09-08,7,9,10,12,18,19,20,24,31,38,43,45,46,47,52,56,57,59,62,71,73,78
524,2025-09-12,24,26,27,29,31,32,35,36,37,38,47,51,58,60,63,71,74,75,76,77,78,80
525,2025-09-15,3,5,10,11,13,14,15,16,25,28,32,33,41,45,53,62,63,64,66,67,69,75
526,2025-09-19,2,4,9,13,16,22,24,28,29,31,36,40,43,49,50,52,53,55,64,69,75,76
527,2025-09-22,3,5,9,21,22,30,36,40,41,46,47,51,58,60,61,63,64,67,69,74,78,79
528,2025-09-26,3,11,15,18,22,27,30,36,40,44,49,51,52,53,54,56,67,69,70,71,74,76
529,2025-09-29,2,3,4,7,9,11,16,18,28,33,35,45,49,50,59,64,65,67,68,69,70,78
530,2025-10-03,2,9,14,17,23,24,26,30,32,37,39,45,46,47,56,57,59,60,64,65,66,74
531,2025-10-06,1,7,9,10,16,20,27,28,39,43,53,55,59,60,65,67,69,70,71,75,76,80
532,2025-10-10,1,3,4,9,13,28,31,34,39,40,50,54,57,59,63,64,66,67,70,76,77,79
533,2025-10-13,2,5,6,9,10,12,14,24,25,27,30,37,42,44,47,48,55,63,73,77,78,80
534,2025-10-17,1,12,13,16,26,27,28,29,35,36,37,38,45,48,58,59,60,63,68,73,78,80
535,2025-10-20,8,11,14,16,17,20,21,23,26,30,44,47,60,61,64,65,68,70,71,72,75,80
536,2025-10-24,5,12,16,17,18,20,22,23,36,50,52,53,54,57,59,60,61,72,73,74,76,78
537,2025-10-27,1,3,4,6,12,19,21,22,23,33,34,38,41,42,47,48,53,60,63,70,73,77
538,2025-10-31,1,2,4,14,15,21,24,26,32,36,42,43,44,45,48,51,53,54,62,73,75,80
539,2025-11-03,5,20,21,25,26,27,29,33,36,38,39,41,42,46,57,59,61,69,72,76,79,80
540,2025-11-07,2,3,7,8,21,22,25,32,34,38,40,44,46,47,52,53,54,55,56,61,62,65
541,2025-11-10,1,2,3,9,10,11,15,17,19,24,27,32,42,44,45,46,47,50,55,57,62,65
542,2025-11-14,1,2,7,18,24,32,38,45,46,51,52,53,55,58,61,62,65,67,69,72,73,75
543,2025-11-17,3,4,6,8,11,15,21,23,29,30,31,45,47,52,53,54,56,59,70,71,78,79
544,2025-11-21,3,4,8,24,26,28,29,31,32,34,36,43,44,46,51,54,56,63,74,78,79,80
545,2025-11-24,1,2,7,8,10,13,14,21,27,29,31,39,43,56,61,62,63,67,68,69,72,76
546,2025-11-28,1,4,8,12,16,22,24,30,32,33,34,35,37,38,40,50,53,56,59,60,66,72
547,2025-12-01,1,4,8,10,17,33,34,35,39,44,48,51,52,54,65,68,69,72,76,77,78,79
548,2025-12-05,1,3,4,5,8,9,10,20,23,24,25,28,29,34,50,64,65,69,76,77,79,80
549,2025-12-08,6,9,15,18,23,26,28,30,31,46,47,49,54,60,61,65,69,70,71,74,77,79
550,2025-12-12,2,10,12,13,14,17,21,24,27,28,30,32,34,36,44,45,50,63,65,70,76,77
551,2025-12-15,9,10,12,20,23,27,30,33,39,41,45,52,53,54,57,64,68,69,72,75,76,78
552,2025-12-19,1,3,4,11,17,22,26,28,33,35,40,44,48,50,55,57,64,67,70,71,72,78
553,2025-12-22,2,4,5,7,9,11,12,21,26,27,29,37,39,46,50,56,57,59,63,65,71,76
554,2025-12-26,5,15,17,19,24,25,31,38,40,43,45,50,52,53,60,63,65,66,74,75,76,79
555,2025-12-29,10,11,20,22,24,26,31,36,38,40,47,49,51,55,58,61,63,64,67,70,78,79
556,2026-01-02,3,7,9,15,18,21,23,25,27,28,29,45,46,51,55,56,58,59,71,74,75,76
557,2026-01-05,2,9,18,20,21,22,24,31,36,39,40,43,45,50,54,56,64,70,72,74,76,80
558,2026-01-09,5,21,27,28,29,37,40,49,54,55,57,60,61,62,66,67,68,69,72,74,77,80
559,2026-01-12,1,4,5,7,11,12,16,18,19,33,38,41,44,46,54,59,60,61,63,64,67,68
560,2026-01-16,1,4,10,13,14,25,31,35,41,42,43,44,46,47,50,51,54,58,59,67,71,73
561,2026-01-19,4,17,22,23,24,27,28,32,33,38,48,55,58,60,63,69,70,71,72,73,76,78
562,2026-01-23,3,6,14,16,20,21,28,29,31,32,35,45,48,54,56,64,65,66,70,71,72,80
563,2026-01-26,9,11,12,13,17,19,20,22,24,25,28,31,36,40,41,45,58,60,61,67,73,79
564,2026-01-30,2,5,12,15,16,21,23,25,28,34,36,37,38,49,51,57,58,60,61,71,76,79
565,2026-02-02,10,11,13,18,19,20,21,26,27,32,34,39,42,45,49,54,60,61,67,68,69,73
566,2026-02-06,2,7,13,14,15,25,29,32,40,48,50,59,65,66,67,70,71,72,76,77,79,80
567,2026-02-09,2,3,4,6,9,16,17,18,21,37,39,41,42,43,50,61,62,63,69,76,77,79
568,2026-02-13,3,6,9,11,19,26,28,29,32,37,39,40,42,49,51,60,61,64,66,68,69,73
569,2026-02-16,5,12,13,19,20,22,24,34,36,37,40,41,46,55,56,62,67,68,70,74,78,80
570,2026-02-20,10,11,12,19,22,27,29,31,35,44,45,47,48,51,58,63,69,70,71,72,75,77
571,2026-02-23,2,3,6,7,15,16,25,26,30,31,36,38,39,41,50,53,62,74,75,76,77,79
572,2026-02-27,1,2,7,8,9,11,23,27,28,30,32,39,51,58,64,67,70,73,75,76,79,80
573,2026-03-02,6,9,18,23,28,32,35,36,42,45,46,47,52,54,55,56,61,68,70,73,78,79
574,2026-03-06,8,12,14,16,18,21,22,23,29,36,43,44,46,47,48,50,55,59,61,69,71,78
575,2026-03-09,1,5,11,13,16,17,24,28,31,39,41,46,50,52,55,62,66,70,72,77,79,80
576,2026-03-13,4,5,11,17,18,19,26,27,29,30,31,34,40,46,47,48,50,55,61,64,73,80
577,2026-03-16,6,10,16,23,28,31,34,36,37,38,39,42,45,49,50,57,63,65,66,71,76,79
578,2026-03-20,4,7,8,12,18,19,22,25,29,34,35,38,39,42,43,46,49,61,64,65,68,71
579,2026-03-23,2,12,14,16,19,23,26,31,33,34,36,38,43,52,56,57,61,66,69,70,72,78
580,2026-03-27,2,7,9,17,25,32,34,35,41,43,46,51,52,53,58,59,67,68,71,75,78,79
581,2026-03-30,2,3,8,10,11,12,18,20,21,25,28,35,37,38,46,51,55,63,68,72,75,79
582,2026-04-03,5,6,9,16,20,21,26,27,28,30,38,46,48,50,53,54,56,66,67,69,79,80
583,2026-04-06,3,7,9,18,21,27,29,36,39,42,45,54,55,59,61,69,73,74,76,77,79,80
584,2026-04-10,3,6,7,9,12,15,17,18,20,24,25,31,33,37,40,41,46,49,53,57,60,77
585,2026-04-13,1,2,8,9,20,25,27,29,36,37,41,49,53,54,55,57,62,65,68,72,74,77
586,2026-04-17,1,5,8,9,10,16,23,25,26,33,37,38,48,52,53,56,58,61,64,70,77,78
587,2026-04-20,5,7,18,25,27,28,31,32,34,35,38,50,52,55,60,61,67,69,73,75,78,79
588,2026-04-24,8,11,15,16,18,33,36,37,49,52,55,56,58,63,64,66,67,68,72,75,76,79
589,2026-04-27,5,7,8,11,14,18,24,27,31,40,46,47,48,50,51,56,59,61,62,64,66,67
590,2026-05-01,3,11,12,14,16,17,23,25,27,29,37,39,42,49,50,54,56,58,59,61,63,71
591,2026-05-04,1,10,11,13,14,17,19,20,24,28,32,33,46,48,52,58,59,60,65,69,72,79
